Tensor Name,DType,Scale(s),Zero Point(s)
serving_default_input_1:0,<class 'numpy.int8'>,0.003921569,-128
sequential/quant_conv2d/Conv2D;sequential/quant_conv2d/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel,<class 'numpy.int8'>,"0.020929703, 0.019781545, 0.017764475","0, 0, 0"
sequential/quant_conv2d/Conv2D,<class 'numpy.int32'>,"8.207726e-05, 7.757468e-05, 6.966461e-05","0, 0, 0"
sequential/quant_conv2d/Conv2D1,<class 'numpy.int8'>,0.08853326,-20
sequential/quant_max_pooling2d/MaxPool,<class 'numpy.int8'>,0.08853326,-20
sequential/quant_conv2d_1/Conv2D;sequential/quant_conv2d_1/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel,<class 'numpy.int8'>,"0.014942663, 0.009392437","0, 0"
sequential/quant_conv2d_1/Conv2D,<class 'numpy.int32'>,"0.0013229226, 0.00083154306","0, 0"
sequential/quant_conv2d_1/Conv2D1,<class 'numpy.int8'>,0.23231648,-30
sequential/quant_conv2d_2/Conv2D;sequential/quant_conv2d_2/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel,<class 'numpy.int8'>,"0.007483427, 0.007873929, 0.0086032, 0.0060476386, 0.00689038, 0.0057255053, 0.0074538323, 0.011555176, 0.0055945995, 0.00772878","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
sequential/quant_conv2d_2/Conv2D,<class 'numpy.int32'>,"0.0017385234, 0.0018292434, 0.0019986653, 0.001404966, 0.0016007489, 0.0013301292, 0.001731648, 0.0026844577, 0.0012997176, 0.001795523","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
sequential/quant_conv2d_2/Conv2D1,<class 'numpy.int8'>,0.35092404,14
StatefulPartitionedCall:0,<class 'numpy.int8'>,0.12046259,32
